index,panoid,lat,lon,year,month,img_path,ang_0,ang_90,ang_180,ang_270
43276,qZmg9l_ZZ2JnGs-kZ9I0JQ,-1.273933218577442,36.66639386949151,2021.0,8.0,Q/Z/,0.0,0.0,0.0,0.0
107726,qZnOGnYY-RYpJSlMtf_x-A,-1.171961894875117,36.82951264097287,2021.0,10.0,Q/Z/,0.0,0.0,0.0,0.0
110945,qZoneo4ny3CBYJezLhGVRg,-1.307728528520613,36.87778789134815,2018.0,1.0,Q/Z/,0.66031164,0.7613761,0.72355944,0.68873674
81252,qZp-eDtn9hpAY9uTcrMaRw,-1.250355432058477,36.9445306505262,2021.0,8.0,Q/Z/,0.0,0.0,0.0,0.0
76070,qZv3vzwiRMkxXLF--Y8IGA,-1.207488891778105,36.89490480004655,2021.0,9.0,Q/Z/,0.0,0.0,0.0,0.0
2439,qZvDmU5yWgj4n-X-zPTXjw,-1.251202838023198,36.79923680813349,2018.0,2.0,Q/Z/,0.7080233,0.75428617,0.6670786,0.0
32329,qZvDmU5yWgj4n-X-zPTXjw,-1.251202838023198,36.79923680813349,2018.0,2.0,Q/Z/,0.7080233,0.75428617,0.6670786,0.0
15445,qZvQCKFaOjji-G07UcbG2A,-1.193639826923897,36.7658584069668,2018.0,2.0,Q/Z/,0.6710899,0.0,0.0,0.7763815
105271,q_-eRNSCB0lcboDz7xir2Q,-1.321200424380759,36.71808069629817,2021.0,7.0,Q/_/,0.0,0.0,0.0,0.0
8339,q_-eRNSCB0lcboDz7xir2Q,-1.321200424380759,36.71808069629817,2021.0,7.0,Q/_/,0.0,0.0,0.0,0.0
13442,q_0W0cpU-Uvl1tNE8-t7Ew,-1.272885853763392,36.87466567168201,2018.0,1.0,Q/_/,0.0,0.0,0.7062694,0.0
112272,q_22G7joEpLgD2o8pZYYrw,-1.249552730962624,36.90064012896617,2018.0,2.0,Q/_/,0.726001,0.0,0.0,0.0
10456,q_308VVJN81UrnUXTAQcVw,-1.311335565793624,36.78420317412615,2018.0,3.0,Q/_/,0.0,0.0,0.0,0.0
115574,q_7ituRZ4X9fGz1sWB53dA,-1.386414917015812,36.90308065762045,2018.0,10.0,Q/_/,0.0,0.0,0.0,0.0
45920,q_CajG_AEeUmAFHF63PhCA,-1.270389597283883,36.97890710583562,2021.0,8.0,Q/_/,0.62158877,0.0,0.0,0.0
45921,q_CajG_AEeUmAFHF63PhCA,-1.270389597283883,36.97890710583562,2021.0,8.0,Q/_/,0.62158877,0.0,0.0,0.0
114731,q_CajG_AEeUmAFHF63PhCA,-1.270389597283883,36.97890710583562,2021.0,8.0,Q/_/,0.62158877,0.0,0.0,0.0
97186,q_GR7_ahGJd2OS9MkfTPLQ,-1.262557144676737,36.80049149293407,2018.0,1.0,Q/_/,0.0,0.0,0.0,0.0
55329,q_GX3duZDR-FnejLuE8M_g,-1.171944188002654,36.84449476464101,2021.0,12.0,Q/_/,0.0,0.0,0.7019837,0.7441036
92389,q_Hw-oBBRHTZ2mkGXh3Hhw,-1.152046669844332,36.96140881879284,2021.0,12.0,Q/_/,0.0,0.0,0.0,0.0
107501,q_ImZbWfP5EmtCdZ6FfQwQ,-1.318921292409512,36.78934705960727,2021.0,7.0,Q/_/,0.0,0.0,0.0,0.8220547
91149,q_ImZbWfP5EmtCdZ6FfQwQ,-1.318921292409512,36.78934705960727,2021.0,7.0,Q/_/,0.0,0.0,0.0,0.8220547
39246,q_LOFiHyQF8hmoOWPsSeXQ,-1.286730514164357,36.98649477412257,2018.0,2.0,Q/_/,0.0,0.63615227,0.0,0.0
76958,q_Lt_gNvZHjC75pYQiHx3A,-1.287941764508828,36.97217708786261,2018.0,2.0,Q/_/,0.0,0.0,0.0,0.0
118107,q_N7w9gTyvYJuUdrRdoS-w,-1.328994656950329,36.8538996794463,2018.0,2.0,Q/_/,0.0,0.0,0.0,0.0
35731,q_O-N0Dt1Q3_bX73PNmmhQ,-1.289036422353503,36.82742387000805,2021.0,7.0,Q/_/,0.0,0.0,0.7608864,0.0
6069,q_RCspkoLKNLMQ6fMnsP8w,-1.256747499341917,36.89229957173058,2018.0,2.0,Q/_/,0.0,0.6452369,0.0,0.0
56862,q_Ti_WpXW6X6WtA6iKPERg,-1.258494326331407,36.7115873465831,2021.0,8.0,Q/_/,0.0,0.7508087,0.0,0.0
4242,q_TsWfTuwRpVVXlS2jzLcw,-1.321198717695712,36.79786246424754,2018.0,3.0,Q/_/,0.0,0.0,0.0,0.0
372,q_UVapB2se0JxlzWG2D4cw,-1.294850160710059,36.81008037742257,2021.0,7.0,Q/_/,0.0,0.0,0.0,0.709253
108400,q_VYX2Z8l8vtaX2UsJ8Muw,-1.299400696541223,36.8271797614219,2021.0,8.0,Q/_/,0.0,0.0,0.0,0.0
54996,q_f4xNnjgxxEqxvJUvMyiQ,-1.298270018976894,36.88642185631369,2021.0,8.0,Q/_/,0.0,0.0,0.0,0.0
102996,q_hkALuxRjw_dWLn_jWjTw,-1.251399836318745,37.00291069762127,2018.0,2.0,Q/_/,0.0,0.0,0.0,0.0
37213,q_i0LzG7HYWjDt0B4yJhGw,-1.274217306771749,36.81281149755139,2018.0,2.0,Q/_/,0.0,0.0,0.0,0.0
330,q_lSltLEEmvq8MvR16Txlg,-1.296783140841572,36.80783167062417,2021.0,9.0,Q/_/,0.0,0.0,0.0,0.0
111141,q_lhzz4e7TNg0KjsReukSQ,-1.322545451536625,36.89551401640565,2018.0,4.0,Q/_/,0.0,0.0,0.0,0.0
31587,q_mjirEEoh0EA7xXzoZX4A,-1.152918482473104,36.63662516893473,2021.0,10.0,Q/_/,0.0,0.0,0.0,0.0
32438,q_nwTpMjbrURBIS1UjQPTw,-1.300492865399932,36.91171121200584,2021.0,7.0,Q/_/,0.0,0.0,0.61408144,0.0
32700,q_qO0CJo2BRTOzot4ZfV6Q,-1.302373422320953,36.90831238161041,2021.0,7.0,Q/_/,0.0,0.0,0.0,0.0
106699,q_rXl57bUXB0cMNvWDpE8w,-1.27131122563147,36.76676248561763,2021.0,7.0,Q/_/,0.0,0.0,0.0,0.0
48920,q_sfG2fz5PlKDdgccYS4zg,-1.275695688214653,36.99511330988773,2018.0,2.0,Q/_/,0.0,0.0,0.0,0.0
95738,q_tM5SCIVF9MhA5c9kQPlg,-1.426455451371657,36.94930556179202,2018.0,10.0,Q/_/,0.0,0.0,0.0,0.0
23628,q_tnuqZnVZNiv-wdt-H2lg,-1.293726884432849,36.90324333828312,2018.0,4.0,Q/_/,0.0,0.0,0.82397974,0.69681567
42597,q_uww_nyxM7W9SBqLlNvdA,-1.221805194493669,36.88918231805273,2021.0,10.0,Q/_/,0.0,0.0,0.0,0.0
39089,q_viRrVyYkoJPxOTSmXhYw,-1.285219538851254,36.97607125057802,2018.0,2.0,Q/_/,0.0,0.0,0.0,0.0
38500,q_wT8khs2quiXIU73x0AKg,-1.349667593789857,36.6668750782469,2018.0,4.0,Q/_/,0.0,0.0,0.0,0.0
66342,q_wksnuxTiMJaUCmgBsAGw,-1.367284145580898,36.93871698868757,2018.0,4.0,Q/_/,0.6779995,0.0,0.0,0.8078932
94956,q_xABtkeNWLkNIT4KR5H_g,-1.199630716119965,36.66370666570319,2022.0,2.0,Q/_/,0.0,0.0,0.0,0.0
90531,q_yMF8u7diGcPvP-t50ANQ,-1.273111119695365,36.81604650042937,2018.0,2.0,Q/_/,0.69794095,0.7073091,0.0,0.0
116310,qa145e8kZwBXXaF5TaRpAg,-1.360914881452012,36.65638721806993,2018.0,4.0,Q/a/,0.0,0.0,0.0,0.0
124213,qa2YMsFM_3Kc9TzxQGMTxA,-1.290138343828564,36.77469123809345,2021.0,7.0,Q/a/,0.0,0.0,0.0,0.0
125920,qa7VrKqrcfP4mQ9Nrpybzg,-1.292239784965365,36.80538406719668,2021.0,7.0,Q/a/,0.0,0.0,0.68002206,0.0
2358,qa91qP1zu31YkGsu1uWYAQ,-1.26276311442606,36.82857253298086,2021.0,8.0,Q/a/,0.0,0.0,0.6785552,0.0
22965,qa93J7vpCechh4EhmwM9hQ,-1.262625243073864,36.92901632828875,2018.0,2.0,Q/a/,0.0,0.0,0.75294244,0.70015025
59603,qaCK9jm_lf60cAsjUmU5oA,-1.181881885551128,36.87231115557164,2021.0,9.0,Q/a/,0.0,0.0,0.0,0.64942193
36662,qaG9IQZNw4rPFOuxz53nYg,-1.283083385730213,36.68954541399818,2018.0,3.0,Q/a/,0.0,0.0,0.0,0.0
75930,qaK0tVi21IPbfg3ikszHgg,-1.361032019274418,36.93322462199365,2021.0,8.0,Q/a/,0.0,0.0,0.0,0.0
73334,qaK0tVi21IPbfg3ikszHgg,-1.361032019274418,36.93322462199365,2021.0,8.0,Q/a/,0.0,0.0,0.0,0.0
58638,qaM27C5XnBfK9oiAc9WiLw,-1.278468577448436,37.01925132587242,2018.0,2.0,Q/a/,0.0,0.0,0.0,0.60002506
115887,qaMBk_wab4T3m1hVYInZMg,-1.341551892030233,36.94389871569018,2021.0,7.0,Q/a/,0.0,0.0,0.0,0.0
16109,qaO0mppU2JJ8Uj6C1f9vig,-1.266724813838627,36.73501193649928,2018.0,2.0,Q/a/,0.0,0.0,0.0,0.0
12526,qaO44e6nwXoHIGq9fv7UkQ,-1.280716428666568,36.89151167445416,2021.0,8.0,Q/a/,0.0,0.8559092,0.0,0.0
124553,qaRsk8G830zT5RfK-Z7KOA,-1.2600885477589,36.77235235341109,2021.0,9.0,Q/a/,0.0,0.0,0.0,0.0
79504,qaWHJ40Bwlxbw3J2q2RTWA,-1.204393017906684,36.72866835504851,2022.0,2.0,Q/a/,0.0,0.0,0.0,0.0
