index,panoid,lat,lon,year,month,img_path,angle,value,img_name
33113,1V6Q7EnJ4O0JXK5a-olOBw,-1.317366757495594,36.90692973366831,2018.0,4.0,1/v/,90,0.61108285,1V6Q7EnJ4O0JXK5a-olOBw_90
8951,1VV68BDgqEubGIH2mF8_YA,-1.306898511025105,36.80254643493591,2018.0,3.0,1/v/,90,0.609523,1VV68BDgqEubGIH2mF8_YA_90
123829,1VV68BDgqEubGIH2mF8_YA,-1.306898511025105,36.80254643493591,2018.0,3.0,1/v/,90,0.609523,1VV68BDgqEubGIH2mF8_YA_90
50812,1VhBml5o2vyJnXqHpJSBjQ,-1.318285821227457,36.675909719042,2018.0,5.0,1/v/,90,0.61405367,1VhBml5o2vyJnXqHpJSBjQ_90
68558,1VujXl6w6QIGSZOthbkAdA,-1.297265431448381,36.9824701091681,2021.0,8.0,1/v/,90,0.70123094,1VujXl6w6QIGSZOthbkAdA_90
1093,1W1T8A4wKc_1mKMG5Hghaw,-1.239429037150792,36.79184737552897,2021.0,9.0,1/w/,90,0.7057288,1W1T8A4wKc_1mKMG5Hghaw_90
23596,1WAoyrTnVBV9XhO0s6JRxQ,-1.292539538122917,36.90251110781374,2018.0,4.0,1/w/,90,0.9179989,1WAoyrTnVBV9XhO0s6JRxQ_90
119513,1WBADkXrpTA7odJcZnZOlQ,-1.306530227255594,36.74718784409868,2021.0,7.0,1/w/,90,0.64222217,1WBADkXrpTA7odJcZnZOlQ_90
59146,1XVburKFJNCqaXyeyOIYXw,-1.222886419036789,36.9303732152786,2021.0,9.0,1/x/,90,0.6547317,1XVburKFJNCqaXyeyOIYXw_90
93603,1XiMMdE5pOOwvpnPehdXSA,-1.152746293778693,36.90873089576806,2021.0,12.0,1/x/,90,0.66529,1XiMMdE5pOOwvpnPehdXSA_90
80500,1XsXC5qEJ4PwLWp9KFoeJQ,-1.181642288164418,36.72810324316118,2021.0,12.0,1/x/,90,0.8513832,1XsXC5qEJ4PwLWp9KFoeJQ_90
15585,1Xyfr0j4E3Gx6_Coadexow,-1.282456526709289,36.75131748573157,2018.0,2.0,1/x/,90,0.6990072,1Xyfr0j4E3Gx6_Coadexow_90
65431,1YgIIva7IFdA_FeAKxmaxQ,-1.17388579057712,36.91309532860259,2021.0,9.0,1/y/,90,0.745916,1YgIIva7IFdA_FeAKxmaxQ_90
65435,1YgIIva7IFdA_FeAKxmaxQ,-1.17388579057712,36.91309532860259,2021.0,9.0,1/y/,90,0.745916,1YgIIva7IFdA_FeAKxmaxQ_90
