panoid,lat,lon,year,month,img_path,angle,type,img_name
IMG_6463,-1.3074055555555557,36.78304444444444,2023,2,Used/,,Self,IMG_6463
IMG_7231,-1.2783555555555557,36.80484722222222,2023,2,Used/,,Self,IMG_7231
IMG_8102,-1.316813888888889,36.83394166666667,2023,2,Used/,,Self,IMG_8102
IMG_8664,-1.3079222222222222,36.7252,2023,2,Used/,,Self,IMG_8664
IMG_8670,-1.2998027777777776,36.70173888888889,2023,2,Used/,,Self,IMG_8670
IMG_7225,-1.2787777777777778,36.806441666666665,2023,2,Used/,,Self,IMG_7225
IMG_8116,-1.3251638888888888,36.84808611111112,2023,2,Used/,,Self,IMG_8116
IMG_8658,-1.308836111111111,36.72781111111112,2023,2,Used/,,Self,IMG_8658
IMG_7219,-1.2802805555555554,36.80716388888889,2023,2,Used/,,Self,IMG_7219
IMG_7386,-1.2982527777777777,36.80309444444444,2023,2,Used/,,Self,IMG_7386
river,-1.3186027777777778,36.793952777777776,2023,2,Used/,,Self,river
IMG_7392,-1.2981222222222222,36.80245277777777,2023,2,Used/,,Self,IMG_7392
IMG_8089,-1.3039944444444445,36.82613888888889,2023,2,Used/,,Self,IMG_8089
IMG_7345,-1.289786111111111,36.79810555555555,2023,2,Used/,,Self,IMG_7345
IMG_8076,-1.2934527777777776,36.81672777777778,2023,2,Used/,,Self,IMG_8076
IMG_8710,-1.2301972222222224,36.66744722222222,2023,2,Used/,,Self,IMG_8710
IMG_8704,-1.2381583333333337,36.66619166666666,2023,2,Used/,,Self,IMG_8704
IMG_7351,-1.290897222222222,36.79866388888889,2023,2,Used/,,Self,IMG_7351
IMG_8062,-1.2965888888888888,36.80793333333333,2023,2,Used/,,Self,IMG_8062
IMG_7379,-1.297522222222222,36.802841666666666,2023,2,Used/,,Self,IMG_7379
IMG_8738,-1.106938888888889,36.23973055555555,2023,2,Used/,,Self,IMG_8738
IMG_7184,-1.2873888888888887,36.79866944444444,2023,2,Used/,,Self,IMG_7184
IMG_7190,-1.2866972222222222,36.79933611111111,2023,2,Used/,,Self,IMG_7190
IMG_7806,-1.3127833333333334,36.87211666666667,2023,2,Used/,,Self,IMG_7806
IMG_7812,-1.3127472222222225,36.87166666666667,2023,2,Used/,,Self,IMG_7812
IMG_8512,-1.2755388888888888,37.00505555555556,2023,2,Used/,,Self,IMG_8512
IMG_7621,-1.297261111111111,36.83006666666667,2023,2,Used/,,Self,IMG_7621
IMG_0628,-1.2989416666666664,36.77882222222223,2023,2,Used/,,Self,IMG_0628
IMG_8274,-1.2785722222222222,36.968075,2023,2,Used/,,Self,IMG_8274
IMG_7147,-1.294961111111111,36.795319444444445,2023,2,Used/,,Self,IMG_7147
IMG_6259,-1.271861111111111,36.82788888888889,2023,2,Used/,,Self,IMG_6259
IMG_8260,-1.281858333333333,36.96154722222222,2023,2,Used/,,Self,IMG_8260
IMG_7153,-1.2899166666666666,36.79614722222222,2023,2,Used/,,Self,IMG_7153
IMG_8506,-1.2761194444444444,37.01128333333333,2023,2,Used/,,Self,IMG_8506
IMG_7635,-1.3121972222222222,36.85215,2023,2,Used/,,Self,IMG_7635
IMG_6503,-1.3058444444444446,36.787475,2023,2,Used/,,Self,IMG_6503
IMG_8248,-1.2846638888888888,36.95699444444445,2023,2,Used/,,Self,IMG_8248
IMG_6265,-1.2705638888888888,36.829972222222224,2023,2,Used/,,Self,IMG_6265
IMG_6271,-1.2684638888888888,36.83298055555556,2023,2,Used/,,Self,IMG_6271
IMG_6517,-1.3043472222222223,36.78820555555556,2023,2,Used/,,Self,IMG_6517
IMG_7609,-1.286947222222222,36.81626111111111,2023,2,Used/,,Self,IMG_7609
IMG_6270,-1.2687777777777778,36.83268055555556,2023,2,Used/,,Self,IMG_6270
IMG_7608,-1.2870527777777776,36.81603611111111,2023,2,Used/,,Self,IMG_7608
IMG_6516,-1.3044944444444444,36.78821944444445,2023,2,Used/,,Self,IMG_6516
IMG_6502,-1.3059555555555555,36.78738055555555,2023,2,Used/,,Self,IMG_6502
IMG_6264,-1.2708888888888887,36.82944166666667,2023,2,Used/,,Self,IMG_6264
IMG_8249,-1.2844972222222222,36.95726944444445,2023,2,Used/,,Self,IMG_8249
IMG_7152,-1.290036111111111,36.79610555555556,2023,2,Used/,,Self,IMG_7152
IMG_8261,-1.281575,36.96204722222223,2023,2,Used/,,Self,IMG_8261
IMG_7634,-1.3120305555555556,36.85166111111111,2023,2,Used/,,Self,IMG_7634
IMG_8507,-1.275947222222222,37.009455555555554,2023,2,Used/,,Self,IMG_8507
IMG_7620,-1.2976333333333332,36.82968611111112,2023,2,Used/,,Self,IMG_7620
IMG_8513,-1.2754222222222222,37.00441388888889,2023,2,Used/,,Self,IMG_8513
IMG_6258,-1.2720916666666666,36.82756111111112,2023,2,Used/,,Self,IMG_6258
IMG_7146,-1.295086111111111,36.79533333333333,2023,2,Used/,,Self,IMG_7146
IMG_8275,-1.2782416666666665,36.96849722222223,2023,2,Used/,,Self,IMG_8275
IMG_0629,-1.2989527777777776,36.778125,2023,2,Used/,,Self,IMG_0629
IMG_7813,-1.31265,36.87093611111112,2023,2,Used/,,Self,IMG_7813
IMG_7807,-1.3128083333333334,36.87176388888889,2023,2,Used/,,Self,IMG_7807
IMG_7191,-1.2867722222222222,36.79961111111111,2023,2,Used/,,Self,IMG_7191
IMG_7185,-1.2871194444444445,36.79873333333333,2023,2,Used/,,Self,IMG_7185
