panoid,lat,lon,year,month,img_path,angle,value
-T2bbhoeR30ZexdhHG0DQA,-1.335447116085026,36.73265165094524,2021.0,8.0,-/t/,0,0.26368698
-T35gBi_fjMawiZdB-mGFQ,-1.286486275844749,36.82321534792865,2017.0,12.0,-/t/,0,0.3398265
-TcSjR7j5sK_0BdhWRwYaA,-1.282019185437452,36.7062214488621,2017.0,12.0,-/t/,0,0.47743428
-Tm9BB__cL87GjVbDos4mQ,-1.257233249921551,36.68082532528527,2021.0,8.0,-/t/,0,0.54415977
-U4O_0iNkjylebsBtOopGg,-1.284004883990021,36.73054912435396,2017.0,12.0,-/U/,0,0.415998
-U8G7Fo3um8TvyZ3Y9J_EQ,-1.28430760983297,36.89679939382319,2018.0,1.0,-/U/,0,0.42730215
-UDjYeAVAtbcbAMsdHW0Mw,-1.195483465469752,36.94185846214982,2021.0,9.0,-/U/,0,0.34405315
-UKK7JxwyFijVyhcVOxehQ,-1.318371169500554,36.77927845961111,2021.0,10.0,-/U/,0,0.3700541
-VPkPfxctZZWz3QF-CFN2Q,-1.192809050562599,36.7470741266727,2021.0,12.0,-/v/,0,0.31266347
-Va2a3GMOPPpMFrV7jngZA,-1.216464596474627,36.82575148002524,2022.0,1.0,-/v/,0,0.255849
-WHLgIUtTgBQQvofC5Prdw,-1.261279847255153,36.89636825658683,2018.0,2.0,-/w/,0,0.46126324
-WQZ3IQsW2WUETKKspRXVw,-1.206231864395079,36.80360485977926,2018.0,2.0,-/w/,0,0.45532227
-WYuHXoRfzrraYWMscvLNw,-1.144169965994102,36.96506506966765,2022.0,1.0,-/w/,0,0.5288019
-WmAXpy8MC3QM_sOOPR_bg,-1.26517966465604,36.97998389377646,2018.0,2.0,-/w/,0,0.38916922
-Wp9FciQaxDez85XSQzXKQ,-1.305425037256632,36.68329695599271,2018.0,1.0,-/w/,0,0.30944535
-WtE9OQnPm3Yp5ZElbyf7A,-1.20043622068202,36.90808782205946,2018.0,2.0,-/w/,0,0.3555608
-XJsQRLaI6MJVaZk7c7DXg,-1.302465018435911,36.88802171557638,2021.0,7.0,-/x/,0,0.30169517
-Y3VrLcRV9ph5Diz6TlP1Q,-1.277335234257845,36.98719993846829,2018.0,2.0,-/y/,0,0.2562414
-Ydj_QCipljR_aV-C0kbsg,-1.335113040575451,36.77788525191482,2021.0,7.0,-/y/,0,0.2944754
-YsTBdKQJJFipDuVQuw-XQ,-1.287666878261424,36.91119533044099,2021.0,8.0,-/y/,0,0.36739352
-Zh43sQxAyrqaGdXYqi2KQ,-1.232315153601309,36.65988037162657,2021.0,8.0,-/Z/,0,0.41356817
-_CEszSRwbkIrf8AhdPclg,-1.267411693943178,36.83403223630739,2022.0,5.0,-/_/,0,0.3985848
-_OC18Cdj2eTuA2GxAMRfQ,-1.21776687872625,36.76909595715235,2021.0,9.0,-/_/,0,0.31497094
-_Zxs2WP-X8m7qj-REHpnQ,-1.288799526281745,36.79294342505977,2021.0,7.0,-/_/,0,0.652671
-_iZAT8meJD0OYFnA5ctIQ,-1.315801881751807,36.70799871654209,2021.0,8.0,-/_/,0,0.2539425
-a3QnWrPlomi7WhILCuoOg,-1.284879510166947,36.95301138334198,2021.0,8.0,-/a/,0,0.28728917
-bHoFpG67kHp1pAWntdT5A,-1.221703820068968,36.90596788695719,2021.0,7.0,-/B/,0,0.26095825
-bKiXnxjfRGcVYR0N4hCQQ,-1.351600552792366,36.93633779009959,2018.0,4.0,-/B/,0,0.4789209
-bPtu2lUWJX2KRtsZfLkEQ,-1.377704547202801,36.73839786949684,2021.0,7.0,-/B/,0,0.3454265
-bQVGk6sPeZs5xDCHMMJow,-1.271258222910784,36.87990338699691,2018.0,1.0,-/B/,0,0.3067354
-bcsNkD17L3srqBsuMLLUA,-1.276430823571377,36.75937638750256,2018.0,2.0,-/B/,0,0.382304
-bx_-St9uhJKyPIWnx_1Eg,-1.174543269182207,36.9066656229592,2018.0,2.0,-/B/,0,0.36869502
-cCoNxACxRhZOAh2vGMdIQ,-1.210174802140385,36.86783446129414,2018.0,2.0,-/C/,0,0.40481448
-dDqDUzsKOdKiP3cdgVmsg,-1.30230285180981,36.68019796096669,2018.0,1.0,-/d/,0,0.4711029
-dE81PTqRvl-czwNVPc17w,-1.372759360886024,36.76233208243938,2021.0,7.0,-/d/,0,0.5040079
-dnEqpLrlgYAsG3FVFQ7Aw,-1.312480822664474,36.6844384722745,2021.0,8.0,-/d/,0,0.62500924
-e16HWjJAYDTSADuU1sH0g,-1.326901946583562,36.67026419479959,2018.0,5.0,-/e/,0,0.2810083
-e6PDHt8U6B_mXQ2_CEokQ,-1.301070353174988,36.8878609433591,2021.0,7.0,-/e/,0,0.32369402
-eXyCMACg0xaaNndoWGprA,-1.214095834968014,36.77349973537985,2021.0,9.0,-/e/,0,0.3228097
-ebht8xGl1ejBmCi2DuUxQ,-1.299251180979651,36.81479996616522,2021.0,7.0,-/e/,0,0.25640333
-f3JMX6WtSlp2-MQL72Eog,-1.277425892045516,36.72505406508088,2021.0,8.0,-/f/,0,0.4729069
-fHAkrL99bvh6KpEHcwxkQ,-1.183052670712338,36.90469776723324,2018.0,2.0,-/f/,0,0.40247464
-fIdeqQnC3nhsCHLa8umCg,-1.294162580753923,36.75292323551997,2018.0,1.0,-/f/,0,0.42294306
-fLRSxyvknEDluPJerxL3g,-1.209091986610718,36.80770391514163,2018.0,2.0,-/f/,0,0.30234784
-fUBkqQWlEozERtVIo_ZjQ,-1.286300728342043,36.99062723190656,2021.0,8.0,-/f/,0,0.48979938
-ffXUJWVG-4SNwfydZ8a_w,-1.300262434172818,36.77365738701869,2021.0,8.0,-/f/,0,0.28717878
-fhUWQAqmlB4IS9F2rKvoA,-1.304392422584375,36.82239393654498,2021.0,7.0,-/f/,0,0.25993907
-flPVk2Yg08D7yXn_OQFDQ,-1.199868972411623,36.89414105682786,2021.0,9.0,-/f/,0,0.42969108
-gJRF24oKdAlQF_HCZp-Ww,-1.310656264946283,36.76098697757607,2021.0,7.0,-/g/,0,0.65418035
-gaJ6FLt2luPPuCn2ylEZw,-1.253730604571841,36.94365236951349,2021.0,8.0,-/g/,0,0.3006114
-govdVh-xNt5qszl33Lofg,-1.301147875634493,36.812695662778,2017.0,12.0,-/g/,0,0.4343533
-gpavYadFqehhwXprGSR9g,-1.239707379252459,36.74039902778315,2021.0,8.0,-/g/,0,0.5100331
-h5jWKEyJALQ5AdbRAlveA,-1.365268731010352,36.74237381838059,2017.0,12.0,-/H/,0,0.45363268
-hIy1BrpvLFHqN4Yui0fIg,-1.236975268668136,36.92772782423609,2021.0,9.0,-/H/,0,0.3955703
-hJxaBJdlGNQu2ID-I1Sng,-1.156412228674283,36.952165920793,2021.0,12.0,-/H/,0,0.5453957
-hKMeEbZ-pABKajaqT5Lxw,-1.256323548785036,36.87880715187514,2018.0,2.0,-/H/,0,0.29893827
-hbUkZQnZwpgoyIWIL_j5Q,-1.308385492435331,36.85335522922408,2018.0,1.0,-/H/,0,0.29578677
-hv8TLMKdoohYt2BPPnDbg,-1.270044354491177,36.76636100306124,2021.0,7.0,-/H/,0,0.3798424
-i-eH0et7_OzpUTIVMXEVg,-1.293963018853498,36.77860236551618,2017.0,12.0,-/i/,0,0.5065826
-iIhHJ8zy36XMCL0D4XPvA,-1.234593674656919,36.93029874011668,2018.0,2.0,-/i/,0,0.26663095
-iQ-BqJsnBSdf1xEAdKTIQ,-1.284200572906941,36.77365861995511,2017.0,12.0,-/i/,0,0.30343083
-iUberVTsT9M1KW-T5JZAg,-1.35069872157883,36.7386159560188,2021.0,7.0,-/i/,0,0.6082032
-j91DihhMo7HVZsmP6uNWA,-1.26995089644692,36.94254888591843,2021.0,8.0,-/j/,0,0.56393105
-j9CWrtAsWydYo7TNZoHYg,-1.221125664603334,36.89057309648842,2021.0,9.0,-/j/,0,0.3180422
-jJJoB6sK2RTicbzsqv00g,-1.163369984357772,36.64024967848788,2021.0,11.0,-/j/,0,0.28896397
-jxhK_bF-0ydvUstINsAYw,-1.392558156179217,36.7557469851121,2022.0,2.0,-/j/,0,0.28009534
-kRBCmLVdkjVYoz1KHSMxg,-1.281789952006156,36.82171018673731,2018.0,2.0,-/K/,0,0.36744636
-kZ2wLfEPAJoo8--lKxuQw,-1.305891509991651,36.8236322107088,2021.0,8.0,-/K/,0,0.2906414
-kg1icfWj7KEG0qYRKWETw,-1.278792438113818,36.83996086439542,2018.0,2.0,-/K/,0,0.334561
-kqIzsU8XGVEqRvkMhIl7g,-1.206873429268817,36.76022480641988,2021.0,9.0,-/K/,0,0.30360758
-l84wgBsgKwQh_cRMsbDAw,-1.329193944344035,36.76646145610803,2018.0,1.0,-/L/,0,0.25328565
-lWBRVpnWuuMPenZJh6wuQ,-1.258922736299787,36.78139028925362,2021.0,7.0,-/L/,0,0.26938567
-lWU7K_NKtE_tvLo9wNsYw,-1.254451114950515,36.71173624523952,2021.0,10.0,-/L/,0,0.2639305
-m62DgUUw6eghRNVIzz5YA,-1.259603320280073,36.70619676771778,2017.0,12.0,-/m/,0,0.35225824
-nC6vVGkQY5zHzXPvcZKDQ,-1.356024428794163,36.66985412432952,2018.0,4.0,-/N/,0,0.29812855
-oBovSRsKSMR77FicUTfBw,-1.149970366147733,36.97524958034663,2018.0,5.0,-/O/,0,0.25960094
-oWgMA-4xtFIP5Xr5r7cgQ,-1.248972321537884,36.67391365681872,2021.0,8.0,-/O/,0,0.4625048
-omwxgjqXYBIzCsdbg0mTw,-1.325395636009476,36.72225810070707,2017.0,12.0,-/O/,0,0.30301145
-ouHS8TdJ1GQfcIsTqHX2g,-1.249718076914808,36.82119622022385,2022.0,2.0,-/O/,0,0.35012513
-pJWye4HqIOolJYyU4XBaw,-1.363922415270118,36.74067853600283,2021.0,7.0,-/P/,0,0.39910483
-pVowTe0Fhrf4ET7k8WgBA,-1.26200416623912,36.82551787958612,2021.0,8.0,-/P/,0,0.29660377
-qGhfW3xdAZ6wvVBumBdgg,-1.28700305989067,36.73931034186874,2018.0,2.0,-/Q/,0,0.55056727
-qOaMueNjl2qrH3TV_EkvA,-1.296204183292694,36.77619776785281,2017.0,12.0,-/Q/,0,0.35027722
-qU8YANg-YEdkD89sRfcTA,-1.229527395596064,36.83481614999766,2018.0,1.0,-/Q/,0,0.5547991
-qWeZ9Tt6xWTzeGv0L1Z-A,-1.221019046549566,36.81763375974656,2022.0,5.0,-/Q/,0,0.7558901
-qvgpBZk6OxXGyEczOw7AQ,-1.279430336705498,36.69160417147415,2018.0,1.0,-/Q/,0,0.26672113
-qw1s2Jhp0r9J9zE53X89g,-1.285434503965826,36.83305103893327,2021.0,8.0,-/Q/,0,0.30737102
-r-ijZjsIoE9-zv8KfUPAQ,-1.244237633349468,36.88635135796922,2021.0,7.0,-/r/,0,0.36072642
-rHsl6o8qmxgC4u6ItPO8A,-1.369261041933608,36.73625553831309,2021.0,7.0,-/r/,0,0.37186834
-rRQjCjX3wELm4N01-NqxA,-1.371020124672917,36.66504752210984,2018.0,4.0,-/r/,0,0.33062595
-rY7ezrj8Nt1-rsP_A1zFQ,-1.181860700613822,36.89132932685384,2021.0,9.0,-/r/,0,0.402383
-rbwxhB3fICQ4Ktx_WaFIw,-1.298787511386156,36.79321073771994,2018.0,3.0,-/r/,0,0.39835435
-rulAvVuzSUNTFQd3vhfaA,-1.265966854653699,37.00330679298543,2018.0,2.0,-/r/,0,0.36293584
-ryBy-p7MBR4ozHnrvjxLA,-1.338144731794726,36.76320381441956,2018.0,1.0,-/r/,0,0.41882253
-s2BPS3btQkLU3bl_MznkQ,-1.32856542942665,36.8252560227999,2018.0,1.0,-/s/,0,0.37507603
-s2Synn28y0EI_nnJovuqA,-1.247120292977859,36.870680499817,2021.0,7.0,-/s/,0,0.3442155
-sEsYq_LkT3AbfNlC442jw,-1.261970091706813,36.86757390412674,2018.0,1.0,-/s/,0,0.31648877
-sL9tMLJ4tQRtElczcgT5Q,-1.366583104639419,36.65395865888776,2018.0,4.0,-/s/,0,0.39369777
-sXoGq9e9x6N2llVzftJDQ,-1.373105316838454,36.7463511988012,2017.0,12.0,-/s/,0,0.344272
-tH1Ica74JjdmetA_1esPw,-1.251435338601286,36.79324377167973,2017.0,12.0,-/t/,0,0.28907615
-tQ8dZQM7RA4nSddcaTlXw,-1.338197548633823,36.89525708593082,2022.0,5.0,-/t/,0,0.442186
-tTGK9huwHAMPCL-oC1rDw,-1.266331736866035,36.92264511139159,2021.0,8.0,-/t/,0,0.31344533
-tkQikiBrLNd8rkSkp2MUQ,-1.347298504530345,36.7403208245006,2021.0,7.0,-/t/,0,0.25146922
