panoid,lat,lon,year,month,ang_0,ang_90,ang_180,ang_270,img_path
-46s7p2kK7tAhhC21d-RBQ,-1.218252726309654,36.81022250594582,2018.0,2.0,0.0,0.0,0.25931883,0.5798728,-/4/
-4EKUb4eXfjxkHgoq7pFaw,-1.322344336083366,36.70740177389554,2018.0,1.0,0.0,0.39325264,0.26198843,0.2708753,-/4/
-4JjQ5jRkixpKpJQ5QBKJw,-1.271540920888826,37.04454038112053,2018.0,2.0,0.0,0.0,0.0,0.0,-/4/
-4K5xb1MFABofOYDSYUjXw,-1.283936803560087,36.70283750532432,2021.0,8.0,0.0,0.0,0.0,0.0,-/4/
-4MLfi1_Pr1kW1NJQ8Mogg,-1.181369820409384,36.87426461140679,2021.0,9.0,0.0,0.0,0.0,0.26565892,-/4/
-4Q27-Bz0jniH13oYTE3lQ,-1.348490496168649,36.66044172077955,2018.0,4.0,0.0,0.0,0.2881895,0.0,-/4/
-4QB_lRKW5zB9GjsAKSoqA,-1.182908571520425,36.63939923228354,2021.0,10.0,0.0,0.0,0.0,0.0,-/4/
-4Rci70cakpla7qHAQ6RtA,-1.310624328407082,36.79156099313937,2021.0,7.0,0.32726443,0.0,0.0,0.3343334,-/4/
-4VW6FLpTuuDOL3yhbLg1w,-1.391203000718348,36.74032033110423,2022.0,2.0,0.0,0.0,0.0,0.0,-/4/
-4YuToL8JYdNHQ5sJW_1wQ,-1.304215786392544,36.91709936495337,2021.0,7.0,0.0,0.0,0.0,0.0,-/4/
-4Yy3IMHE45rVhzT3duVwg,-1.285094863810313,36.72619584571459,2021.0,8.0,0.0,0.0,0.0,0.0,-/4/
-4gX4uGrqrHPg71TYvRoTw,-1.254247197994263,36.69124548322021,2021.0,11.0,0.2794295,0.0,0.0,0.0,-/4/
-4jME4iPzN1HDqKzK0nujw,-1.288443026791653,36.79839894290825,2021.0,7.0,0.0,0.0,0.0,0.0,-/4/
-4nDpbNBdnqGy8o_acYgzA,-1.371514958204848,36.91904039111243,2018.0,4.0,0.0,0.0,0.0,0.0,-/4/
-4o4UhXPe68XrmuIj3kKrg,-1.216033071311632,36.73238518890902,2021.0,8.0,0.0,0.0,0.0,0.0,-/4/
-4rGbRwDmHrAyfV1LjYwQg,-1.28856432536879,37.06436663396319,2018.0,2.0,0.0,0.0,0.0,0.0,-/4/
-4t_jy6A14XcNKqc8Mvisg,-1.259816793489039,36.87880698771772,2018.0,2.0,0.26579067,0.42416248,0.0,0.0,-/4/
-4wCYwIM4we8vFgi346X1Q,-1.269701200540202,36.83909652490716,2018.0,2.0,0.44639984,0.0,0.0,0.0,-/4/
-4yDEVpyoSJ_mg-MVcvIzA,-1.354662968681995,36.94282451235549,2018.0,4.0,0.48531187,0.0,0.0,0.0,-/4/
-51oaEceHu1B61gFQNxJ4A,-1.260454822062344,36.71732030546438,2021.0,11.0,0.0,0.0,0.0,0.27002308,-/5/
-52q5y6dzsF4A9Rjk_JwVQ,-1.153328577156163,36.80363353448455,2018.0,5.0,0.0,0.0,0.0,0.0,-/5/
-54An-k49ATvEkT9DH39_g,-1.257869053196645,37.00989359086321,2018.0,2.0,0.0,0.0,0.0,0.0,-/5/
-55PyFTQkeYuqGXeF_OMLA,-1.279852042946475,36.88259605387493,2021.0,7.0,0.0,0.0,0.0,0.0,-/5/
-55edgVrCfOh1ypjuVbmAQ,-1.250681464777164,36.94896863763424,2021.0,8.0,0.0,0.0,0.0,0.0,-/5/
-586T-xvbOfSaJaaCEoglQ,-1.182180320233635,36.87733448085216,2021.0,9.0,0.0,0.0,0.0,0.0,-/5/
-590H4MAUdC2tkQEZAx5MA,-1.345767338857713,36.71041918103555,2021.0,9.0,0.0,0.0,0.0,0.0,-/5/
-59e8-4LjMdsDBFYmyocGQ,-1.203290610021145,36.9589691122241,2021.0,9.0,0.0,0.0,0.0,0.0,-/5/
-5AKWIwhvCszK2bcvUimuw,-1.247050749912602,36.68615116652006,2021.0,8.0,0.0,0.0,0.0,0.0,-/5/
-5DOW8dKghtyOvW7bnqETw,-1.270011212104115,36.91588628980278,2018.0,2.0,0.0,0.0,0.0,0.0,-/5/
-5ERsTp3X7tacFmWdzJ-0g,-1.288438476094005,36.72151790472559,2021.0,8.0,0.0,0.0,0.0,0.0,-/5/
-5H4t-WkurrhAGwMcSNvJQ,-1.276104821008609,36.78582062080758,2021.0,7.0,0.29460713,0.0,0.0,0.0,-/5/
-5HilXXyL-qKt1wv8n1zRg,-1.307061381435912,36.80963295833219,2021.0,7.0,0.5866415,0.0,0.0,0.0,-/5/
-5J-aQOqdpdxwYEAHBzRtg,-1.355036259439113,36.72130314040474,2021.0,7.0,0.0,0.0,0.0,0.0,-/5/
-5Mvzah4-o5c44PW8ccjzw,-1.158500896660271,36.94336592133538,2021.0,12.0,0.0,0.0,0.0,0.0,-/5/
-5N9R1WkmhIDeZI0jbOM0w,-1.288784695100923,36.98243830765306,2018.0,2.0,0.0,0.0,0.0,0.46660933,-/5/
-5QKeltm2SHojy0AOrZsOg,-1.177522951921401,36.83695489025636,2021.0,11.0,0.0,0.0,0.41459367,0.45755827,-/5/
-5XlXQq9Y3ULkWK5iJTnHg,-1.289553100559466,36.87542772942865,2021.0,7.0,0.0,0.0,0.0,0.0,-/5/
