panoid,lat,lon,year,month,img_path,angle,value
FBPa3tmZwYsD79aUMElfyA,-1.264725670268169,36.88384989505457,2021.0,8.0,f/B/,0,0.60655695
FEVqMNefE_EdIEqBOpkgoA,-1.33732358635024,36.89397127120814,2021.0,10.0,f/e/,0,0.6635881
FLVbtHDX6bB52oZqDEZQMQ,-1.252677322915778,36.69526978575058,2021.0,8.0,f/L/,0,0.696469
FRfF4KNDQ7so4Y1eH_DqyA,-1.294474663783825,36.8430642728998,2021.0,9.0,f/r/,0,0.65843874
FZ51Irggac_sbX4XaBD-KQ,-1.31164741464706,36.83431566169504,2021.0,7.0,f/Z/,0,0.65543723
FgD6ShHMZQSXdUE9lIYfPw,-1.454567796356059,36.97345743173037,2021.0,9.0,f/g/,0,0.6105202
FgXtsQYbEcQvr2c8aUhgDA,-1.186683307264144,36.78976896200268,2022.0,2.0,f/g/,0,0.6300007
FoqqfpSvGrnemtzg_kGiPA,-1.146973234599849,36.79477137076636,2022.0,2.0,f/O/,0,0.6134877
FvRsXV-kY-GGjq1il5sDQg,-1.277648862416772,36.79398358060011,2021.0,8.0,f/v/,0,0.60718805
FypOnkwR4h_WpJA7iQABMw,-1.256863873425999,36.93764566177988,2021.0,8.0,f/y/,0,0.623444
G3Qx4lSdqCW7WhFwfQ499A,-1.283957304653801,36.83814693056421,2018.0,2.0,g/3/,0,0.7919926
G6O5jgXeG5Ck0QdhMYRBqw,-1.297021946357104,36.86511621522797,2021.0,7.0,g/6/,0,0.6193139
GBkzCiZ0yFg0M0z__Om7GQ,-1.304104954513823,36.89927128597446,2018.0,2.0,g/B/,0,0.8206798
GCLUfjAGTvAFEkKmxoGLCw,-1.210138670915184,36.89721239367814,2018.0,2.0,g/C/,0,0.6202742
GCULRsPylkMSNfKYZ0F7oQ,-1.289746206180942,36.86813474941187,2021.0,7.0,g/C/,0,0.63008267
GG_yn_qnAlJwPlO6Wc9RGg,-1.218150649122599,36.80365440374731,2018.0,2.0,g/g/,0,0.6386718
GYjL-Yg4v31CgR5eSGk2Qg,-1.303276717441865,36.8814507776186,2018.0,1.0,g/y/,0,0.60260224
Gelp4YqHxzH0gtRQyocllw,-1.284691224513051,36.86327030866082,2018.0,2.0,g/e/,0,0.6216496
GevQf5A8brgUJDouWoae8w,-1.304832087641819,36.84113938830265,2017.0,12.0,g/e/,0,0.69885486
Gj3CxqabbrIoDzeUitWREQ,-1.266798855203315,36.91668294945219,2018.0,2.0,g/j/,0,0.7380893
GtlcM_Bw5i9RlEBsPzEPSw,-1.259118153562158,36.96619739881057,2018.0,2.0,g/t/,0,0.61732227
H-8-hdKWRoCzgtGC2Skzyg,-1.244137680170683,36.88492726051435,2021.0,7.0,H/-/,0,0.6269693
H1fDgU4UHfePa_sHOyFijg,-1.253690479732328,36.96907561000173,2018.0,2.0,H/1/,0,0.62415063
H2ZqcZLu3bYgtTH7nodqpA,-1.280461527379543,36.98686497805794,2018.0,2.0,H/2/,0,0.66313654
H4nnkGohsUaE9hGDoc7QhA,-1.18671431420622,36.73715397462061,2022.0,2.0,H/4/,0,0.7349057
