sub_county_x,ward_x,_Capture_the_location_latitude,_Capture_the_location_longitude,_Capture_the_location_precision_x,Feature_x,Garbage/Garbage_type_x,Garbage/Other_garbage_type_x,Garbage/Garbage_Ownership_x,Garbage/Other_Garbage_Ownership,OSM,Comments_x,sub_county_y,ward_y,_Capture_the_location_precision_y,Feature_y,Garbage/Garbage_type_y,Garbage/Other_garbage_type_y,Garbage/Garbage_Ownership_y,description,Comments_y
Embakasi Central,Kayole North,-1.2708565,36.923983,4.9,garbage point,collection point,,public land,,yes,The area is a good holding point for waste from across the subcounty,Embakasi Central,Kayole North,4.9,garbage point,collection point,,public land,The area is a good holding point for waste from across the subcounty,The area is a good holding point for waste from across the subcounty
Embakasi Central,Kayole North Central,-1.2768198,36.9212858,5.0,garbage point,collection point,,public land,,yes,It's an important point that helps in waste management within Embakasi Central,Embakasi Central,Kayole North Central,5.0,garbage point,collection point,,public land,,It's an important point that helps in waste management within Embakasi Central
Starehe,Nairobi South,-1.3124156,36.835366,3.8,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,3.8,garbage point,illegal dumping,,public land,,
Starehe,Nairobi South,-1.3125684,36.8353917,4.729,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,4.729,garbage point,illegal dumping,,public land,,
Starehe,Nairobi South,-1.3126134,36.8354,3.186,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,3.186,garbage point,illegal dumping,,public land,,
Starehe,Nairobi South,-1.3130915,36.8353274,3.807,garbage point,illegal dumping,,public land,,yes,,Starehe,Nairobi South,3.807,garbage point,illegal dumping,,public land,,
Starehe,Nairobi Central,-1.2841664,36.8203314,1.936,garbage point,collection point,,public land,,yes,Not bad state though no proper arrangement of the skips,Starehe,Nairobi Central,1.936,garbage point,collection point,,public land,No proper arrangement of the skips,Not bad state though no proper arrangement of the skips
Starehe,Nairobi Central,-1.2876224,36.83121,1.776,garbage point,collection point,,public land,,yes,The state is not that bad,Starehe,Nairobi Central,1.776,garbage point,collection point,,public land,,The state is not that bad
Starehe,Nairobi Central,-1.288192,36.8346271,2.448,garbage point,collection point,,public land,,yes,A big hip it needs urgent collection,Starehe,Nairobi Central,2.448,garbage point,collection point,,public land,,A big hip it needs urgent collection
Starehe,Ngara,-1.2766305,36.8224943,4.3,garbage point,illegal dumping,,public land,,yes,,Starehe,Ngara,4.3,garbage point,illegal dumping,,public land,,
Starehe,Ngara,-1.2751579,36.8233654,4.6,garbage point,illegal dumping,,public land,,yes,,Starehe,Ngara,4.6,garbage point,illegal dumping,,public land,,
Starehe,Ngara,-1.2724559,36.8283543,4.166,garbage point,illegal dumping,,community,,yes,,Starehe,Ngara,4.166,garbage point,illegal dumping,,community,,
Starehe,Ngara,-1.2757681,36.8299351,4.833,garbage point,illegal dumping,,community,,yes,,Starehe,Ngara,4.833,garbage point,illegal dumping,,community,,
Starehe,Ngara,-1.2790315,36.8307621,4.7,garbage point,illegal dumping,,public land,,yes,,Starehe,Ngara,4.7,garbage point,illegal dumping,,public land,,
Starehe,Ngara,-1.2794467,36.8296489,4.2,garbage point,holding ground,,community,,yes,,Starehe,Ngara,4.2,garbage point,holding ground,,community,,
Starehe,Ngara,-1.275641,36.8225987,4.9,garbage point,holding ground,,public land,,yes,,Starehe,Ngara,4.9,garbage point,holding ground,,public land,,
Starehe,Ngara,-1.2759579,36.8190213,5.0,garbage point,illegal dumping,,public land,,yes,,Starehe,Ngara,5.0,garbage point,illegal dumping,,public land,,
Starehe,Landimawe,-1.3121805,36.8571396,3.829,garbage point,illegal dumping,,public land,,yes,This is an illegal dumping site along Migwani road.,Starehe,Landimawe,3.829,garbage point,illegal dumping,,public land,This is an illegal dumping site along Migwani road.,This is an illegal dumping site along Migwani road.
Starehe,Landimawe,-1.3116044,36.8499555,4.659,garbage point,collection point,,public land,,yes,This is a collection point at Kayaba stage along Enterprise road.,Starehe,Landimawe,4.659,garbage point,collection point,,public land,This is a collection point at Kayaba stage along Enterprise road.,This is a collection point at Kayaba stage along Enterprise road.
Starehe,Landimawe,-1.3132548,36.8498305,3.816,garbage point,illegal dumping,,public land,,yes,Illegal dumping at Crescent Bridge and along Ngong' river Mukuru Kayaba informal settlement,Starehe,Landimawe,3.816,garbage point,illegal dumping,,public land,Illegal dumping at Crescent Bridge and along Ngong' river Mukuru Kayaba informal settlement,Illegal dumping at Crescent Bridge and along Ngong' river Mukuru Kayaba informal settlement
Starehe,Landimawe,-1.3107197,36.8479623,4.604,garbage point,illegal dumping,,public land,,yes,Illegal dumping near Timsales wall along Enterprise road,Starehe,Landimawe,4.604,garbage point,illegal dumping,,public land,Illegal dumping near Timsales wall along Enterprise road,Illegal dumping near Timsales wall along Enterprise road
Starehe,Landimawe,-1.3107447,36.8456915,3.959,garbage point,holding ground,,public land,,yes,An holding ground by Green Army for holding waste awaiting collection.,Starehe,Landimawe,3.959,garbage point,holding ground,,public land,An holding ground by Green Army for holding waste awaiting collection.,An holding ground by Green Army for holding waste awaiting collection.
Starehe,Landimawe,-1.3099923,36.8444971,4.004,garbage point,holding ground,,public land,,yes,An holding ground by Green Army for holding solid waste awaiting collection by trucks.,Starehe,Landimawe,4.004,garbage point,holding ground,,public land,An holding ground by Green Army for holding solid waste awaiting collection by trucks.,An holding ground by Green Army for holding solid waste awaiting collection by trucks.
Starehe,Landimawe,-1.3092484,36.8445078,3.699,garbage point,illegal dumping,,public land,,yes,Illegal dumping near office of the Chief Mukuru Kayaba Location off Enterprise road,Starehe,Landimawe,3.699,garbage point,illegal dumping,,public land,Illegal dumping near office of the Chief Mukuru Kayaba Location off Enterprise road,Illegal dumping near office of the Chief Mukuru Kayaba Location off Enterprise road
Starehe,Landimawe,-1.304317,36.8392502,4.455,garbage point,illegal dumping,,public land,,yes,Illegal dumping at Dakar road junction,Starehe,Landimawe,4.455,garbage point,illegal dumping,,public land,Illegal dumping at Dakar road junction,Illegal dumping at Dakar road junction
Starehe,Landimawe,-1.304752,36.8302585,4.307,garbage point,holding ground,,public land,,yes,An holding ground for Green Army at Dundori road,Starehe,Landimawe,4.307,garbage point,holding ground,,public land,An holding ground for Green Army at Dundori road,An holding ground for Green Army at Dundori road
Starehe,Landimawe,-1.2931231,36.8362157,4.889,garbage point,holding ground,,private,,yes,An holding ground for the Green army along Factory street,Starehe,Landimawe,4.889,garbage point,holding ground,,private,An holding ground for the Green army along Factory street,An holding ground for the Green army along Factory street
Starehe,Landimawe,-1.2924916,36.8380938,4.162,garbage point,illegal dumping,,public land,,yes,Illegal dumping on public land owned by Kenya Railways Cooperation,Starehe,Landimawe,4.162,garbage point,illegal dumping,,public land,Illegal dumping on public land owned by Kenya Railways Cooperation,Illegal dumping on public land owned by Kenya Railways Cooperation
Starehe,Landimawe,-1.2932766,36.8378549,4.732,garbage point,collection point,,public land,,yes,Collection point for solid waste awaiting trucks collection and transportation to Dandora dumpsite,Starehe,Landimawe,4.732,garbage point,collection point,,public land,Collection point for solid waste awaiting trucks collection and transportation to Dandora dumpsite,Collection point for solid waste awaiting trucks collection and transportation to Dandora dumpsite
Embakasi West,Kariobangi,-1.2229626,36.8833639,1.191,garbage point,collection point,,private,,yes,,Embakasi West,Kariobangi,1.191,garbage point,collection point,,private,,
Embakasi East,Embakasi,-1.224866,36.882686,4.14,garbage point,bin,,private,,yes,,Embakasi East,Embakasi,4.14,garbage point,bin,,private,,
Starehe,Nairobi Central,-1.2248668,36.8827205,4.76,garbage point,holding ground,,private,,no,,Starehe,Nairobi Central,4.76,garbage point,holding ground,,private,,
Embakasi Central,Komarock,-1.224918,36.8826117,3.375,garbage point,bin,,private,,yes,,Embakasi Central,Komarock,3.375,garbage point,bin,,private,,
Starehe,Pangani,-1.2226101,36.8818972,4.85,garbage point,bin,,private,,yes,,Starehe,Pangani,4.85,garbage point,bin,,private,,
Starehe,Pangani,-1.2225501,36.8822781,4.988,garbage point,bin,,private,,yes,,Starehe,Pangani,4.988,garbage point,bin,,private,,
Starehe,Pangani,-1.2228921,36.8823804,3.1,garbage point,bin,,private,,yes,,Starehe,Pangani,3.1,garbage point,bin,,private,,
Roysambu,Roysambu,-1.2227945,36.8828327,5.0,garbage point,holding ground,,public land,,yes,none,Roysambu,Roysambu,5.0,garbage point,holding ground,,public land,,none
Roysambu,Garden Estate,-1.2220778,36.8821746,4.836,garbage point,collection point,,community,,yes,the tonnage estimate is about 100 loads.,Roysambu,Garden Estate,4.836,garbage point,collection point,,community,,the tonnage estimate is about 100 loads.
