panoid,lat,lon,year,month,_0,_90,_180,_270,img_path
e9IF8AuJ07ChpPLVMTuQCA,-1.320978618875919,36.84100183596441,2021.0,10.0,45303.0,15935.0,0.0,0.0,e/9/
d8GWfJsUwk68nxjItX806Q,-1.321159584653747,36.84142171880534,2021.0,10.0,0.0,7721.0,0.0,16631.0,d/8/
8zqX3sOx3lf7dmTfaIW0SA,-1.321437524363387,36.84194178551317,2021.0,10.0,44065.0,29983.0,0.0,9691.0,8/Z/
cQwaJbFWwuezeCL20eBDkw,-1.287783664635459,36.78642054885321,2021.0,8.0,0.0,0.0,0.0,0.0,C/Q/
0sfSLMEnitEwzAf8fNnYFQ,-1.288253684381361,36.78649837477886,2021.0,8.0,0.0,0.0,0.0,0.0,0/s/
uYjsf0cJTvgdOHFYkykmRw,-1.288738546387448,36.78657554317131,2021.0,8.0,0.0,0.0,0.0,39928.0,U/y/
q0YD3oxFPn1zrFKnewp1Bw,-1.327660285584431,36.69087033575398,2021.0,7.0,0.0,0.0,10167.0,0.0,Q/0/
k5iauIsS34TixAyDLkyzaw,-1.327688304337434,36.69065210915971,2021.0,7.0,0.0,17927.0,37718.0,5560.0,K/5/
UUZsluFLYQVw2ptl0KyhuQ,-1.329624564207343,36.68701597492496,2021.0,7.0,53300.0,0.0,0.0,7877.0,U/U/
VtlGsoaSG1UL0LOVR2Vn3A,-1.306996158677989,36.81950413864859,2021.0,7.0,0.0,5798.0,0.0,0.0,v/t/
HbSy4wGtbCO7t_vhge_37g,-1.319588322139151,36.82935634043076,2021.0,9.0,0.0,8048.0,4119.0,0.0,H/B/
POhxilyIov7LkLD7Y7KORw,-1.303952313327698,36.76944555643117,2021.0,7.0,0.0,0.0,6007.0,0.0,P/O/
PTABn7DGPimXRfCDLICT0Q,-1.303975807528365,36.76898161571817,2021.0,7.0,12475.0,0.0,0.0,0.0,P/t/
OYgH-3JhzH5pyuCwRZc6fA,-1.303998916837537,36.76844607458864,2021.0,7.0,0.0,0.0,23108.0,0.0,O/y/
vvWERJ9bZ0Np007lcR8JtA,-1.303877456475802,36.76790765251281,2021.0,7.0,4782.0,0.0,0.0,0.0,v/v/
qlD8VNbnFI_dcKdnI48vWw,-1.303480892563452,36.76770033841976,2018.0,1.0,0.0,0.0,0.0,10605.0,Q/L/
dw4AO_LbtOekc9c13KgAxw,-1.30303937406104,36.76740079236932,2021.0,7.0,0.0,0.0,0.0,18839.0,d/w/
EeAziNgFx5QCLVXe1dcYJQ,-1.302629980869727,36.76724337402256,2018.0,1.0,0.0,0.0,0.0,16824.0,e/e/
x0SQu-EMYU8PTJV5E8BMEg,-1.302140755410644,36.76698591415704,2018.0,1.0,4702.0,9620.0,5102.0,0.0,x/0/
_4PuM4I0MTyIdFRUeK100g,-1.301668638042109,36.76675558053063,2021.0,7.0,0.0,0.0,6259.0,19171.0,_/4/
dUkwk1qHGJ62X0N2IC6cfw,-1.301243844427334,36.76656215562955,2018.0,1.0,6010.0,0.0,9222.0,18665.0,d/U/
k_r5m-cfnLnb4uQpz2mNSg,-1.300758671288754,36.76632532657813,2021.0,7.0,0.0,5183.0,11242.0,16305.0,K/_/
Hh4LLZtmRRpPJzNKOiQcJg,-1.300270992616924,36.76623654631518,2018.0,1.0,6030.0,31484.0,11827.0,36625.0,H/H/
IEcudJpZZ_cIwlV2_G0ZXQ,-1.298915559005357,36.76145680520617,2021.0,8.0,0.0,0.0,0.0,0.0,i/e/
OOKLxJW2EfejELedZKS4sQ,-1.298986062488556,36.76190139175922,2021.0,8.0,0.0,0.0,0.0,0.0,O/O/
QOqnQlcj-2Z6KIuz28i02w,-1.299080348878414,36.7623746663409,2021.0,8.0,0.0,0.0,0.0,0.0,Q/O/
YT_B-PDHEuFZKsRmSWipRA,-1.354021102507479,36.71315340001782,2021.0,7.0,25785.0,37579.0,0.0,9252.0,y/t/
z6RjbH2rtoVAbKcosN5fgg,-1.353581797622608,36.71318704549591,2021.0,7.0,6635.0,0.0,9124.0,6044.0,Z/6/
_MeCjegx3x-romk5Fy1nmA,-1.353087122672477,36.71326519508064,2021.0,7.0,16549.0,33937.0,12002.0,44581.0,_/m/
qWa8ZSPX7tfioH8TAQsIiQ,-1.352558035539432,36.71334605924871,2021.0,7.0,12628.0,0.0,0.0,16185.0,Q/w/
LGCnnuaDfbBSOSw29iMWZw,-1.352140028517682,36.71341079987737,2021.0,7.0,15513.0,38437.0,15781.0,24263.0,L/g/
di5QKtFaOCKs6vQRehaFCg,-1.351552609204847,36.71350589528564,2021.0,7.0,15720.0,39190.0,10398.0,23837.0,d/i/
2hpyXr_OkhIXK73DbLOEbQ,-1.351166647343968,36.71356504193584,2021.0,7.0,11549.0,34961.0,6839.0,0.0,2/H/
SPpUYy5tLp3Eskwt4A2e8g,-1.350589072682286,36.71365256902033,2021.0,7.0,0.0,0.0,0.0,15363.0,s/P/
FPR2mlcru-qKRwqkZULshg,-1.350079369254204,36.71373261014559,2021.0,7.0,0.0,0.0,0.0,5796.0,f/P/
0N_fZU97b1PwB9APinp8OA,-1.349708138015904,36.71379035815986,2021.0,7.0,16148.0,33701.0,0.0,42718.0,0/N/
JLAvJxF1svIQYqx39UY01Q,-1.349084031803163,36.71388471272484,2021.0,7.0,0.0,29827.0,0.0,38592.0,j/L/
G7S8PY7T2fUYPX3DJuU0ew,-1.348610640946063,36.71395027550377,2021.0,7.0,8898.0,22492.0,0.0,24957.0,g/7/
8PwBBT_nD40pr3ATW8eNxQ,-1.34815943856246,36.71402924690479,2021.0,7.0,0.0,0.0,4340.0,10230.0,8/P/
wlXmw3hvaPxsqjyfuC6hZQ,-1.347679358293697,36.71410073240278,2021.0,7.0,0.0,0.0,0.0,18364.0,w/L/
